# sprite                offset  bytes  διαστάσεις     μορφή      κατηγορία
# ----------------------------------------------------------------------------
# domes_s               #0000      -                            (ομάδα)
  dome_s_nw             #0000    512  16x32 px       mask+data  θόλοι
# domes_m               #0200      -                            (ομάδα)
  dome_m_nw             #0200   1152  24x48 px       mask+data  θόλοι
# domes_l               #0680      -                            (ομάδα)
  dome_l_nw             #0680   2048  32x64 px       mask+data  θόλοι
# rings_s               #0E80      -                            (ομάδα)
  ring_s_nw             #0E80    512  16x32 px       mask+data  δακτύλιοι
# rings_m               #1080      -                            (ομάδα)
  ring_m_nw             #1080   1152  24x48 px       mask+data  δακτύλιοι
# rings_l               #1500      -                            (ομάδα)
  ring_l_nw             #1500   2048  32x64 px       mask+data  δακτύλιοι
# corridors             #1D00      -                            (ομάδα)
  corr_h                #1D00     64  8x8 px         mask+data  διάδρομοι
  corr_v                #1D40     64  4x16 px        mask+data  διάδρομοι
  corr_dr               #1D80    256  16x16 px       mask+data  διάδρομοι
  corr_dl               #1E80    256  16x16 px       mask+data  διάδρομοι
# connectors            #1F80      -                            (ομάδα)
  conn_n                #1F80     32  4x8 px         mask+data  σημεία σύνδεσης
  conn_ne               #1FA0     32  4x8 px         mask+data  σημεία σύνδεσης
  conn_e                #1FC0     32  4x8 px         mask+data  σημεία σύνδεσης
  conn_se               #1FE0     32  4x8 px         mask+data  σημεία σύνδεσης
  conn_s                #2000     32  4x8 px         mask+data  σημεία σύνδεσης
  conn_sw               #2020     32  4x8 px         mask+data  σημεία σύνδεσης
  conn_w                #2040     32  4x8 px         mask+data  σημεία σύνδεσης
  conn_nw               #2060     32  4x8 px         mask+data  σημεία σύνδεσης
  conn_points           #2080     48                            πίνακας συνδέσεων
# room_icons_s          #20B0      -                            (ομάδα)
  icon_s_empty          #20B0     72  12x12 px       αδιαφανές  εικονίδια δωματίων
  icon_s_control        #20F8     72  12x12 px       αδιαφανές  εικονίδια δωματίων
  icon_s_quarters       #2140     72  12x12 px       αδιαφανές  εικονίδια δωματίων
  icon_s_canteen        #2188     72  12x12 px       αδιαφανές  εικονίδια δωματίων
  icon_s_oxygen         #21D0     72  12x12 px       αδιαφανές  εικονίδια δωματίων
  icon_s_greenhouse     #2218     72  12x12 px       αδιαφανές  εικονίδια δωματίων
  icon_s_storage        #2260     72  12x12 px       αδιαφανές  εικονίδια δωματίων
  icon_s_airlock        #22A8     72  12x12 px       αδιαφανές  εικονίδια δωματίων
  icon_s_factory        #22F0     72  12x12 px       αδιαφανές  εικονίδια δωματίων
  icon_s_lab            #2338     72  12x12 px       αδιαφανές  εικονίδια δωματίων
  icon_s_medbay         #2380     72  12x12 px       αδιαφανές  εικονίδια δωματίων
  icon_s_lounge         #23C8     72  12x12 px       αδιαφανές  εικονίδια δωματίων
# room_icons_m          #2410      -                            (ομάδα)
  icon_m_empty          #2410    128  16x16 px       αδιαφανές  εικονίδια δωματίων
  icon_m_control        #2490    128  16x16 px       αδιαφανές  εικονίδια δωματίων
  icon_m_quarters       #2510    128  16x16 px       αδιαφανές  εικονίδια δωματίων
  icon_m_canteen        #2590    128  16x16 px       αδιαφανές  εικονίδια δωματίων
  icon_m_oxygen         #2610    128  16x16 px       αδιαφανές  εικονίδια δωματίων
  icon_m_greenhouse     #2690    128  16x16 px       αδιαφανές  εικονίδια δωματίων
  icon_m_storage        #2710    128  16x16 px       αδιαφανές  εικονίδια δωματίων
  icon_m_airlock        #2790    128  16x16 px       αδιαφανές  εικονίδια δωματίων
  icon_m_factory        #2810    128  16x16 px       αδιαφανές  εικονίδια δωματίων
  icon_m_lab            #2890    128  16x16 px       αδιαφανές  εικονίδια δωματίων
  icon_m_medbay         #2910    128  16x16 px       αδιαφανές  εικονίδια δωματίων
  icon_m_lounge         #2990    128  16x16 px       αδιαφανές  εικονίδια δωματίων
# room_icons_l          #2A10      -                            (ομάδα)
  icon_l_empty          #2A10    200  20x20 px       αδιαφανές  εικονίδια δωματίων
  icon_l_control        #2AD8    200  20x20 px       αδιαφανές  εικονίδια δωματίων
  icon_l_quarters       #2BA0    200  20x20 px       αδιαφανές  εικονίδια δωματίων
  icon_l_canteen        #2C68    200  20x20 px       αδιαφανές  εικονίδια δωματίων
  icon_l_oxygen         #2D30    200  20x20 px       αδιαφανές  εικονίδια δωματίων
  icon_l_greenhouse     #2DF8    200  20x20 px       αδιαφανές  εικονίδια δωματίων
  icon_l_storage        #2EC0    200  20x20 px       αδιαφανές  εικονίδια δωματίων
  icon_l_airlock        #2F88    200  20x20 px       αδιαφανές  εικονίδια δωματίων
  icon_l_factory        #3050    200  20x20 px       αδιαφανές  εικονίδια δωματίων
  icon_l_lab            #3118    200  20x20 px       αδιαφανές  εικονίδια δωματίων
  icon_l_medbay         #31E0    200  20x20 px       αδιαφανές  εικονίδια δωματίων
  icon_l_lounge         #32A8    200  20x20 px       αδιαφανές  εικονίδια δωματίων
# corr_slot_gfx         #3370      -                            (ομάδα)
  slot_s_0_empty        #3370     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_0_colonist     #3380     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_0_carrier      #3390     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_0_driller      #33A0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_0_engineer     #33B0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_1_empty        #33C0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_1_colonist     #33D0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_1_carrier      #33E0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_1_driller      #33F0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_1_engineer     #3400     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_2_empty        #3410     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_2_colonist     #3420     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_2_carrier      #3430     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_2_driller      #3440     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_2_engineer     #3450     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_3_empty        #3460     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_3_colonist     #3470     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_3_carrier      #3480     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
